"Accession","Title","Technology","Taxonomy","Data.Rows","Samples.Count","Series.Count","Contact","Release.Date"
"GPL570","[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","in situ oligonucleotide","Homo sapiens",54675,143181,5000,"Affymetrix, Inc.","7-Nov-03"
"GPL1261","[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array","in situ oligonucleotide","Mus musculus",45101,53377,4109,"Affymetrix, Inc.","25-May-04"
"GPL96","[HG-U133A] Affymetrix Human Genome U133A Array","in situ oligonucleotide","Homo sapiens",22283,40251,1088,"Affymetrix, Inc.","11-Mar-02"
"GPL6244","[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]","in situ oligonucleotide","Homo sapiens",33297,34506,1654,"Affymetrix, Inc.","5-Dec-07"
"GPL6246","[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]","in situ oligonucleotide","Mus musculus",35557,26530,2142,"Affymetrix, Inc.","5-Dec-07"
"GPL571","[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array","in situ oligonucleotide","Homo sapiens",22277,23017,597,"Affymetrix, Inc.","7-Nov-03"
"GPL1355","[Rat230_2] Affymetrix Rat Genome 230 2.0 Array","in situ oligonucleotide","Rattus norvegicus",31099,21840,670,"Affymetrix, Inc.","20-Jul-04"
"GPL6801","[GenomeWideSNP_6] Affymetrix Genome-Wide Human SNP 6.0 Array","in situ oligonucleotide","Homo sapiens",1880794,20232,358,"Affymetrix, Inc.","30-Apr-08"
"GPL5175","[HuEx-1_0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version]","in situ oligonucleotide","Homo sapiens",316919,15528,407,"Affymetrix, Inc.","21-May-07"
"GPL3718","[Mapping250K_Nsp] Affymetrix Mapping 250K Nsp SNP Array","in situ oligonucleotide","Homo sapiens",262338,10968,188,"Affymetrix, Inc.","13-May-06"
"GPL13158","[HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate","in situ oligonucleotide","Homo sapiens",54715,10627,111,"Affymetrix, Inc.","11-Feb-11"
"GPL5188","[HuEx-1_0-st] Affymetrix Human Exon 1.0 ST Array [probe set (exon) version]","in situ oligonucleotide","Homo sapiens",1432155,9358,207,"Affymetrix, Inc.","21-May-07"
"GPL3720","[Mapping250K_Sty] Affymetrix Mapping 250K Sty2 SNP Array","in situ oligonucleotide","Homo sapiens",238378,9341,145,"Affymetrix, Inc.","13-May-06"
"GPL17586","[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version]","in situ oligonucleotide","Homo sapiens",70753,9129,309,"Affymetrix, Inc.","20-Aug-13"
"GPL13667","[HG-U219] Affymetrix Human Genome U219 Array","in situ oligonucleotide","Homo sapiens",49386,9021,134,"Affymetrix, Inc.","31-May-11"
