"ID","title","gpl","status","submission_date","last_update_date","technology","distribution","organism","manufacturer","manufacture_protocol","coating","catalog_number","support","description","web_link","contact","data_row_count","supplementary_file","bioc_package"
21,"[MG_U74A] Affymetrix Murine Genome U74A Array","GPL32","Public on Jan 17 2002","2002-01-17","2012-06-21","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site;	;	The MG-U74 version 1 set comprises three arrays representing over 36,000 mouse genes and ESTs.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12654,NA,"mgu74a"
22,"[MG_U74B] Affymetrix Murine Genome U74B Array","GPL33","Public on Jan 17 2002","2002-01-17","2009-06-03","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	The MG-U74 version 1 set comprises three arrays representing over 36,000 mouse genes and ESTs.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12636,NA,"mgu74b"
23,"[MG_U74C] Affymetrix Murine Genome U74C Array","GPL34","Public on Jan 17 2002","2002-01-17","2009-06-03","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	The MG-U74 version 1 set comprises three arrays representing over 36,000 mouse genes and ESTs.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12728,NA,"mgu74c"
46,"[AG] Affymetrix Arabidopsis Genome Array","GPL71","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Arabidopsis thaliana","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 8297 entries and was indexed 29-Jan-2002.;	The sequences used to develop this array were obtained from GenBank in collaboration with Novartis Agriculture Discovery Institute, Inc. Probes were synthesized in situ.;	Eighty percent of the genes represented are predicted coding sequences from genomic BAC entries. Twenty percent are high quality cDNA sequences. Also contains >100 EST clusters, sharing homology with predicted coding sequences from BAC clones.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=atgenome1;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",8297,NA,"ag"
47,"[DrosGenome1] Affymetrix Drosophila Genome Array","GPL72","Public on Mar 11 2002","2002-02-19","2012-05-30","in situ oligonucleotide","commercial","Drosophila melanogaster","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 14010 entries and was indexed 29-Jan-2002;	The sequences used to develop this array are accessible through FlyBase. Probes were synthesized in situ.;	Contains >13,500 gene sequences predicted from annotation of the Drosophila genome version 1, >8000 sequences for which confirming EST or full-length cDNA evidence is available, ~3,000 genes identified using prediction algorithms, and ~2,500 genes that not only have a gene predicted algorithmically, but also show some homology to genes from other organisms.;	For ~4,000 genes, expressed sequence alignment information from the Drosophila Gene Collection was used to modify the boundaries of the predicted transcript. In these cases, the probe sets correspond to the modified exon boundaries. In addition, several hundred ESTs close to predicted gene sequences, but lying outside of predetermined gene inclusion boundaries, are included.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=fly;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",14010,NA,"drosgenome1"
49,"[HC_G110] Affymetrix Human Cancer Array","GPL74","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 2059 entries and was indexed 29-Jan-2002.;	The Human Cancer G110 array enables focused and cost-effective expression studies in cancer biology. A panel of leading cancer researchers selected the specific set of 1,700 full-length human genes implicated in cancer that comprise this array. Accession numbers for sequences selected were selected from GenBank flat file release number 110.0.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=hcg110;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",2059,NA,"hcg110"
50,"[Mu11KsubA] Affymetrix Murine 11K SubA Array","GPL75","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site;	;	Has 13179 entries and was indexed 29-Jan-2002.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",6584,NA,"mu11ksuba"
51,"[Mu11KsubB] Affymetrix Murine 11K SubB Array","GPL76","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 13179 entries and was indexed 29-Jan-2002.;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",6595,NA,"mu11ksubb"
52,"[Mu19KsubA] Affymetrix Murine 19K SubA Array","GPL77","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 21146 entries and was indexed 29-Jan-2002.;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",7045,NA,"mu19ksuba"
53,"[Mu19KsubB] Affymetrix Murine 19K SubB Array","GPL78","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 21146 entries and was indexed 29-Jan-2002.;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",7054,NA,"mu19ksubb"
