ID_REF,GSM674702,GSM674703,GSM674704,GSM674705,GSM674706,GSM674707,GSM674708,GSM674709,GSM674710,GSM674711
cg00000292,0.2999649,0.5892947,0.885151,0.6912519,0.5914947,0.845721,0.4698804,0.7692093,0.6177802,0.5291631
cg00002426,0.331123,0.195798,0.7748927,0.2983271,0.1548957,0.3200446,0.4188995,0.1253627,0.5971674,0.2547665
cg00003994,0.09064381,0.05520362,0.1026178,0.09592061,0.06305927,0.06680714,0.05629018,0.1139207,0.07626967,0.06500672
cg00005847,0.1875,0.3053423,0.1703214,0.3562932,0.2245837,0.3909774,0.1698804,0.223304,0.4966672,0.3875904
cg00006414,0.0853322,0.09279433,0.1123935,0.1304438,0.07676768,0.09667306,0.08359384,0.1148999,0.0707804,0.08967512
cg00007981,0.1102589,0.06609166,0.1048311,0.08831686,0.08810854,0.08132403,0.0740874,0.1058633,0.07586736,0.06648283
cg00008493,0.8884667,0.9607643,0.9429827,0.9612973,0.962771,0.9649303,0.9671988,0.9663109,0.970769,0.9552814
cg00008713,0.05759701,0.03822327,0.04427348,0.04353653,0.04855292,0.03968953,0.03794938,0.03296128,0.03976822,0.04945946
cg00009407,0.01953848,0.03053217,0.02736087,0.02986254,0.02365128,0.02560065,0.02449431,0.02170782,0.01962986,0.02848625
cg00010193,0.5284388,0.5134639,0.4933993,0.530467,0.5373709,0.5190099,0.5280429,0.5399138,0.5267394,0.5317374
cg00011459,0.6601732,0.832981,0.667735,0.6833172,0.8312566,0.7171533,0.8348131,0.5945946,0.8353803,0.880829
cg00012199,0.03009107,0.03594249,0.03638254,0.03049882,0.02914013,0.03030605,0.0269684,0.0367193,0.02633455,0.03448142
cg00012386,0.03091002,0.03443012,0.03447893,0.03866703,0.03940121,0.03212046,0.03827656,0.02922201,0.03584078,0.03424638
cg00012792,0.03205758,0.05005044,0.0648468,0.03424962,0.03921793,0.03910689,0.04059097,0.02795099,0.03970884,0.04288101
cg00013618,0.4442971,0.4971797,0.5257716,0.5774974,0.4375,0.4944338,0.5464227,0.4566579,0.5828246,0.5566987
cg00014085,0.03266212,0.03476024,0.04406311,0.0458994,0.04054759,0.03707236,0.1203839,0.0409211,0.02882874,0.03417422
cg00014837,0.6243563,0.8339747,0.8122783,0.7778549,0.8265587,0.7840722,0.7996473,0.623676,0.7606807,0.8559504
cg00015770,0.09637249,0.07063578,0.05504559,0.09653367,0.08863712,0.0683355,0.09202645,0.04963742,0.06626244,0.1022458
cg00016968,0.6601781,0.753598,0.649055,0.6803782,0.7101358,0.6073697,0.8778428,0.9199694,0.7575776,0.6677067
cg00019495,0.5347593,0.1271868,0.5309817,0.1817903,0.1524281,0.1063407,0.07464558,0.6428805,0.07384132,0.1028056
cg00020533,0.7069035,0.7961472,0.739661,0.7492768,0.737826,0.7648606,0.7965186,0.5984056,0.8345044,0.8095537
cg00021527,0.02664701,0.03660468,0.03633546,0.03744623,0.02761128,0.02545156,0.02517313,0.0322406,0.02648983,0.03198523
cg00022606,0.02319331,0.04666691,0.02957037,0.05346774,0.04063535,0.04122684,0.0415258,0.03115856,0.04490649,0.05167709
cg00022866,0.5151947,0.6544784,0.7373077,0.6068538,0.5874495,0.7405309,0.5361134,0.5502262,0.6966935,0.5430942
cg00024396,0.03930208,0.1604532,0.1041604,0.06981008,0.1048802,0.06325235,0.2316705,0.06456794,0.05303699,0.1438052
cg00024812,0.04711546,0.06371845,0.05374797,0.06163642,0.04889735,0.04605621,0.03848452,0.03475208,0.04391583,0.03687404
cg00025138,0.02702091,0.04680365,0.02526516,0.03295289,0.03269174,0.02973228,0.02956681,0.03150722,0.02444213,0.05565371
cg00025991,0.4176814,0.4852197,0.5978199,0.569461,0.4508596,0.6843679,0.6810721,0.6947314,0.5118231,0.6157132
cg00027083,0.01694123,0.02894681,0.1421212,0.03332612,0.02406207,0.02569107,0.05166853,0.0628975,0.02373173,0.03841048
cg00027674,0.1249178,0.1825061,0.1688525,0.1471626,0.2043106,0.1096501,0.1168168,0.4579025,0.0853926,0.06819458
cg00029826,0.3794872,0.2905983,0.4092996,0.4200721,0.1916039,0.3273616,0.2427933,0.3260188,0.251096,0.1194061
cg00029931,0.1926832,0.03950454,0.05659067,0.3070038,0.03363914,0.479588,0.03317436,0.06507772,0.2687846,0.03313453
cg00030047,0.2713541,0.6818637,0.3787123,0.528146,0.6345748,0.5727226,0.2458616,0.1763456,0.3580828,0.3333333
cg00031162,0.4905901,0.2988831,0.4783777,0.3045416,0.4313874,0.2097357,0.2916804,0.5828511,0.1929554,0.2603017
cg00032227,0.02214651,0.02966795,0.02847933,0.0309054,0.03181548,0.02796313,0.03016165,0.02142657,0.02805319,0.03807519
cg00032666,0.4410459,0.6427273,0.4825137,0.5425841,0.7194164,0.6159802,0.6976811,0.5083637,0.6370884,0.7547265
cg00033516,0.03424575,0.03516414,0.04866951,0.04404094,0.03318499,0.03966081,0.0386655,0.03059415,0.04390012,0.0452851
cg00033773,0.4327054,0.836558,0.8928787,0.7386873,0.8382698,0.9540817,0.9053701,0.9658886,0.7646579,0.8080599
